EnvType,Agent,NumActive,Seed,ValError,SamplesWastedInactive,SamplesWastedNoisy,MasteredLearnable,FalseMastery,FalseBlocked
ID_Medium,OracleBestRegion,9,7270,0.011993476249180745,0,0,9,0,0
ID_Medium,OracleBestRegion,10,860,0.011713757467994811,0,0,8,0,0
ID_Medium,OracleBestRegion,4,5390,0.00980053383893181,0,0,2,0,0
ID_Medium,OracleBestRegion,8,5191,0.0034490520756264276,0,0,6,0,0
ID_Medium,OracleBestRegion,9,5734,0.08692918205746825,0,0,4,0,0
ID_Medium,OracleBestRegion,9,6265,0.04282479385458299,0,0,7,0,0
ID_Medium,OracleBestRegion,7,466,0.009176094765513215,0,0,6,0,0
ID_Medium,OracleBestRegion,3,4426,0.004268711751242215,0,0,2,0,0
ID_Medium,OracleBestRegion,10,5578,0.0708148830510606,0,0,8,0,0
ID_Medium,OracleBestRegion,8,8322,0.02879850769350465,0,0,7,0,0
ID_Medium,OracleRandomLearnable,9,7270,0.027333313094367526,0,0,8,0,0
ID_Medium,OracleRandomLearnable,10,860,0.09781976951797028,0,0,7,0,0
ID_Medium,OracleRandomLearnable,4,5390,0.0009793681335016227,0,0,2,0,0
ID_Medium,OracleRandomLearnable,8,5191,0.013193606875529366,0,0,6,0,0
ID_Medium,OracleRandomLearnable,9,5734,0.10368969338799221,0,0,4,0,0
ID_Medium,OracleRandomLearnable,9,6265,0.15264391723449844,0,0,7,0,0
ID_Medium,OracleRandomLearnable,7,466,0.0036726760521720047,0,0,6,0,0
ID_Medium,OracleRandomLearnable,3,4426,0.0013699091360348569,0,0,2,0,0
ID_Medium,OracleRandomLearnable,10,5578,0.16714143732959133,0,0,8,0,0
ID_Medium,OracleRandomLearnable,8,8322,0.013282620631118857,0,0,7,0,0
ID_Medium,PPO_SetPolicy,9,7270,0.011740612809151535,0,0,9,0,0
ID_Medium,PPO_SetPolicy,10,860,0.00879948340701775,0,0,10,0,0
ID_Medium,PPO_SetPolicy,4,5390,0.006941596487717194,0,0,4,0,0
