Env,Agent,Seed,ActiveRegions,ValError,SamplesWastedInactive,SamplesWastedNoisy,MasteredLearnable,FalseMastery,FalseBlocked
ID_Medium,MasteryGatedHypothesis,0,9,0.08149210063768582,0,177,4,0,0
ID_Medium,MasteryGatedHypothesis,1,6,0.014346946878304838,0,0,6,0,0
ID_Medium,MasteryGatedHypothesis,2,9,0.1414922598601632,0,46,5,0,0
ID_Medium,MasteryGatedHypothesis,3,9,0.028565088605641917,0,32,8,0,0
ID_Medium,MasteryGatedHypothesis,4,8,0.0068051003764688965,0,181,5,0,0
ID_Medium,MasteryGatedHypothesis,5,8,0.019222167664798746,0,172,5,0,0
ID_Medium,MasteryGatedHypothesis,6,6,0.0042893994768139045,0,0,6,0,0
ID_Medium,MasteryGatedHypothesis,7,10,0.057199731858576436,0,125,6,0,0
ID_Medium,MasteryGatedHypothesis,8,8,0.011661688307895697,0,35,7,0,0
ID_Medium,MasteryGatedHypothesis,9,6,0.01075762939726849,0,95,4,0,0
ID_Medium,Random,0,9,0.2399276767665175,0,429,3,0,0
ID_Medium,Random,1,6,0.09064108120453207,0,0,4,0,0
ID_Medium,Random,2,9,0.15502610917939577,0,109,6,0,0
ID_Medium,Random,3,9,0.008943877243055669,0,119,8,0,0
ID_Medium,Random,4,8,0.009072845191357854,0,372,5,0,0
ID_Medium,Random,5,8,0.03015004719958727,0,370,3,0,0
ID_Medium,Random,6,6,0.004522984472132396,0,0,6,0,0
ID_Medium,Random,7,10,0.1862477390811497,0,396,4,0,0
ID_Medium,Random,8,8,0.031015408194587087,0,129,7,0,0
ID_Medium,Random,9,6,0.072829749768654,0,346,3,0,0
ID_Medium,HighestError,0,9,0.40378104527928044,0,910,0,0,0
ID_Medium,HighestError,1,6,0.022785373661675296,0,0,5,0,0
ID_Medium,HighestError,2,9,0.20288693064207275,0,623,0,0,0
ID_Medium,HighestError,3,9,0.25308766018503426,0,924,0,0,0
ID_Medium,HighestError,4,8,0.1843033856762113,0,923,0,0,0
ID_Medium,HighestError,5,8,0.3637490257601285,0,933,0,0,0
ID_Medium,HighestError,6,6,0.00741126428155361,0,0,6,0,0
ID_Medium,HighestError,7,10,0.9595626913604085,0,951,0,0,0
ID_Medium,HighestError,8,8,0.45456297336167456,0,972,0,0,0
