EnvType,Agent,NumActive,Seed,ValError,SamplesWastedInactive,SamplesWastedNoisy,MasteredLearnable,FalseMastery,FalseBlocked,UsedHiddenValidation
ID_Medium,RandomMask,9,7270,0.06012519376511422,0,0,8,0,0,True
ID_Medium,RandomMask,10,860,0.021006706271987235,0,190,8,0,0,True
ID_Medium,RandomMask,4,5390,0.011812634768822711,0,479,2,0,0,True
ID_Medium,RandomMask,8,5191,0.009931498531527057,0,242,6,0,0,True
ID_Medium,RandomMask,9,5734,0.11438548498563765,0,316,5,0,0,True
ID_Medium,RandomMask,9,6265,0.16070641500726485,0,119,7,0,0,True
ID_Medium,RandomMask,7,466,0.008067436244365662,0,124,6,0,0,True
ID_Medium,RandomMask,3,4426,0.0035898902647064188,0,350,2,0,0,True
ID_Medium,RandomMask,10,5578,0.10760416264538039,0,0,8,0,0,True
ID_Medium,RandomMask,8,8322,0.023902718794052612,0,120,6,0,0,True
ID_Medium,MasteryGatedHypothesis,9,7270,0.08988697088487946,0,0,8,0,0,True
ID_Medium,MasteryGatedHypothesis,10,860,0.023776076914859334,0,244,7,0,0,True
ID_Medium,MasteryGatedHypothesis,4,5390,0.006548045714893821,0,180,2,0,0,True
ID_Medium,MasteryGatedHypothesis,8,5191,0.008797258247417882,0,96,6,0,0,True
ID_Medium,MasteryGatedHypothesis,9,5734,0.056487929932933945,0,88,5,0,0,True
ID_Medium,MasteryGatedHypothesis,9,6265,0.03937288869858593,0,30,7,0,0,True
ID_Medium,MasteryGatedHypothesis,7,466,0.0074581861643189225,0,32,6,0,0,True
ID_Medium,MasteryGatedHypothesis,3,4426,0.0006361516200614934,0,52,2,0,0,True
ID_Medium,MasteryGatedHypothesis,10,5578,0.09725484477142811,0,0,8,0,0,True
ID_Medium,MasteryGatedHypothesis,8,8322,0.016030143729973724,0,31,7,0,0,True
ID_Medium,OracleBestRegion,9,7270,0.03616623565725466,0,0,8,0,0,True
ID_Medium,OracleBestRegion,10,860,0.021620216631125407,0,455,8,0,0,True
ID_Medium,OracleBestRegion,4,5390,0.004558635081674188,0,89,2,0,0,True
ID_Medium,OracleBestRegion,8,5191,0.006408761214074456,0,89,6,0,0,True
ID_Medium,OracleBestRegion,9,5734,0.06389521472507037,0,192,4,0,0,True
ID_Medium,OracleBestRegion,9,6265,0.02541016368269205,0,35,7,0,0,True
ID_Medium,OracleBestRegion,7,466,0.004986009577328467,0,37,6,0,0,True
ID_Medium,OracleBestRegion,3,4426,0.0024907231047388827,0,46,2,0,0,True
ID_Medium,OracleBestRegion,10,5578,0.06273075600959802,0,0,8,0,0,True
ID_Medium,OracleBestRegion,8,8322,0.00895237945765987,0,50,7,0,0,True
ID_Medium,PPO_SetPolicy_Phase4B,9,7270,0.010350819327941648,0,0,9,0,0,True
ID_Medium,PPO_SetPolicy_Phase4B,10,860,0.005701368177261698,0,0,10,0,0,True
ID_Medium,PPO_SetPolicy_Phase4B,4,5390,0.006684321712199492,0,0,4,0,0,True
ID_Medium,PPO_SetPolicy_Phase4B,8,5191,0.0012574078912306746,0,0,8,0,0,True
ID_Medium,PPO_SetPolicy_Phase4B,9,5734,0.0026680618496300085,0,0,9,0,0,True
ID_Medium,PPO_SetPolicy_Phase4B,9,6265,0.0025620991457622204,0,0,9,0,0,True
ID_Medium,PPO_SetPolicy_Phase4B,7,466,0.009899995136966171,0,0,7,0,0,True
ID_Medium,PPO_SetPolicy_Phase4B,3,4426,0.0014258756155364023,0,0,3,0,0,True
ID_Medium,PPO_SetPolicy_Phase4B,10,5578,0.01841974552333495,0,0,10,0,0,True
ID_Medium,PPO_SetPolicy_Phase4B,8,8322,0.006063126045016307,0,0,8,0,0,True
ID_Medium,PPO_SetPolicy_NoValObs,9,7270,0.007532095916096919,0,0,9,0,0,False
ID_Medium,PPO_SetPolicy_NoValObs,10,860,0.008006693608069663,0,0,10,0,0,False
ID_Medium,PPO_SetPolicy_NoValObs,4,5390,0.007960452392519673,0,0,4,0,0,False
ID_Medium,PPO_SetPolicy_NoValObs,8,5191,0.004774736266879754,0,0,8,0,0,False
ID_Medium,PPO_SetPolicy_NoValObs,9,5734,0.008252092991207945,0,0,9,0,0,False
ID_Medium,PPO_SetPolicy_NoValObs,9,6265,0.0060635257627509355,0,0,9,0,0,False
ID_Medium,PPO_SetPolicy_NoValObs,7,466,0.007735325631016359,0,0,7,0,0,False
ID_Medium,PPO_SetPolicy_NoValObs,3,4426,0.0008485830623511209,0,0,3,0,0,False
ID_Medium,PPO_SetPolicy_NoValObs,10,5578,0.003186970750353611,0,0,10,0,0,False
ID_Medium,PPO_SetPolicy_NoValObs,8,8322,0.005440103242051117,0,0,8,0,0,False
ID_Medium,PPO_FlatMLP_NoValObs,9,7270,1.0680934236201296,0,0,3,0,0,False
ID_Medium,PPO_FlatMLP_NoValObs,10,860,1.7690925537189863,0,0,3,0,0,False
ID_Medium,PPO_FlatMLP_NoValObs,4,5390,0.001486168950464807,0,0,4,0,0,False
ID_Medium,PPO_FlatMLP_NoValObs,8,5191,0.4647389157195369,0,0,3,0,0,False
ID_Medium,PPO_FlatMLP_NoValObs,9,5734,1.0558217722520502,0,0,5,0,0,False
ID_Medium,PPO_FlatMLP_NoValObs,9,6265,0.6260616297178732,0,0,3,0,0,False
ID_Medium,PPO_FlatMLP_NoValObs,7,466,1.4578492422282063,0,0,3,0,0,False
ID_Medium,PPO_FlatMLP_NoValObs,3,4426,0.0005753053657852757,0,0,3,0,0,False
ID_Medium,PPO_FlatMLP_NoValObs,10,5578,1.6166451296201263,0,0,2,0,0,False
ID_Medium,PPO_FlatMLP_NoValObs,8,8322,0.9927510911628317,0,0,3,0,0,False
OOD_Hard,RandomMask,9,7270,0.03963859599081011,0,221,7,0,0,True
OOD_Hard,RandomMask,10,860,0.08000811668032494,0,98,8,0,0,True
OOD_Hard,RandomMask,4,5390,0.7398685003887657,0,479,0,0,0,True
OOD_Hard,RandomMask,8,5191,0.26202588695591517,0,253,5,1,0,True
OOD_Hard,RandomMask,9,5734,0.054242241643422485,0,0,8,0,0,True
OOD_Hard,RandomMask,9,6265,0.5214795004909952,0,231,4,0,0,True
OOD_Hard,RandomMask,7,466,0.07410025931510944,0,0,6,0,0,True
OOD_Hard,RandomMask,3,4426,0.019876828056458067,0,350,2,0,0,True
OOD_Hard,RandomMask,10,5578,0.06336806573807865,0,96,8,0,0,True
OOD_Hard,RandomMask,8,8322,0.008145225808821894,0,262,6,1,0,True
OOD_Hard,MasteryGatedHypothesis,9,7270,0.017452664612068475,0,85,7,0,0,True
OOD_Hard,MasteryGatedHypothesis,10,860,0.06271501124829679,0,38,7,0,0,True
OOD_Hard,MasteryGatedHypothesis,4,5390,0.6867086722237293,0,226,0,0,0,True
OOD_Hard,MasteryGatedHypothesis,8,5191,0.17907756667426425,0,66,5,0,0,True
OOD_Hard,MasteryGatedHypothesis,9,5734,0.053222160737295604,0,0,9,0,0,True
OOD_Hard,MasteryGatedHypothesis,9,6265,0.5179816804937636,0,66,4,0,0,True
OOD_Hard,MasteryGatedHypothesis,7,466,0.05679769976789039,0,0,6,0,0,True
OOD_Hard,MasteryGatedHypothesis,3,4426,0.0016602508962404732,0,253,2,0,0,True
OOD_Hard,MasteryGatedHypothesis,10,5578,0.06511388038180393,0,11,8,0,0,True
OOD_Hard,MasteryGatedHypothesis,8,8322,0.003900970161289139,0,48,6,0,0,True
OOD_Hard,OracleBestRegion,9,7270,0.00613314135300506,0,68,7,0,0,True
OOD_Hard,OracleBestRegion,10,860,0.09005193500147093,0,31,7,0,0,True
OOD_Hard,OracleBestRegion,4,5390,0.6358711454083126,0,93,0,0,0,True
OOD_Hard,OracleBestRegion,8,5191,0.15637348090549458,0,67,5,0,0,True
OOD_Hard,OracleBestRegion,9,5734,0.037853470276768025,0,0,9,0,0,True
OOD_Hard,OracleBestRegion,9,6265,0.4985479329130308,0,56,4,0,0,True
OOD_Hard,OracleBestRegion,7,466,0.05616147054379463,0,0,6,0,0,True
OOD_Hard,OracleBestRegion,3,4426,0.005823107599039886,0,47,2,0,0,True
OOD_Hard,OracleBestRegion,10,5578,0.07494136839940284,0,31,7,0,0,True
OOD_Hard,OracleBestRegion,8,8322,0.016821541114482325,0,89,6,0,0,True
