Agent,Budget,Condition,Seed,Region,Family,IsActive,IsNoisy,ValError,NumSamples,Status
RandomMask,50,Mixed,7270,0,linear,True,False,0.0044125034462973505,2,learning
RandomMask,50,Mixed,7270,1,cubic,True,False,0.24044224300417835,5,learning
RandomMask,50,Mixed,7270,2,piecewise_linear,True,False,0.07310664891321554,8,learning
RandomMask,50,Mixed,7270,3,sine,True,False,0.05805216274036835,3,learning
RandomMask,50,Mixed,7270,4,piecewise_linear,True,False,0.024441196502328125,5,learning
RandomMask,50,Mixed,7270,5,sine,True,False,1.30705595232174,4,learning
RandomMask,50,Mixed,7270,6,cubic,True,False,0.5246450440012188,6,learning
RandomMask,50,Mixed,7270,7,quadratic,True,False,0.10039113850132128,10,learning
RandomMask,50,Mixed,7270,8,quadratic,True,False,0.024297199228453147,7,learning
RandomMask,50,Mixed,860,0,piecewise_linear,True,False,0.4329255173593712,7,learning
RandomMask,50,Mixed,860,1,piecewise_linear,True,False,0.01958864207253356,3,learning
RandomMask,50,Mixed,860,2,sine,True,False,2.3347926487182846,2,learning
RandomMask,50,Mixed,860,3,noisy_unlearnable,True,True,0.3478675720401702,8,learning
RandomMask,50,Mixed,860,4,piecewise_linear,True,False,0.8296570925576267,0,unexplored
RandomMask,50,Mixed,860,5,cubic,True,False,0.13065510623947812,7,learning
RandomMask,50,Mixed,860,6,piecewise_linear,True,False,0.05571014371431298,6,learning
RandomMask,50,Mixed,860,7,piecewise_linear,True,False,0.13418293604807643,5,learning
RandomMask,50,Mixed,860,8,sine,True,False,0.3353080482845536,6,learning
RandomMask,50,Mixed,860,9,noisy_unlearnable,True,True,0.7552750595911895,6,learning
RandomMask,50,Mixed,5390,0,noisy_unlearnable,True,True,1.1362748652828203,10,learning
RandomMask,50,Mixed,5390,1,noisy_unlearnable,True,True,1.4799796385513937,13,learning
RandomMask,50,Mixed,5390,2,cubic,True,False,0.0746968329827064,14,learning
RandomMask,50,Mixed,5390,3,quadratic,True,False,0.014382081923912498,13,learning
