step,seed,method,selected_region,selected_x,observed_y,val_error_before,val_error_after,achieved_lp,region_0_samples,region_0_val_error,region_0_uncertainty,region_0_lp,region_0_noise_risk,region_0_status,region_1_samples,region_1_val_error,region_1_uncertainty,region_1_lp,region_1_noise_risk,region_1_status,region_2_samples,region_2_val_error,region_2_uncertainty,region_2_lp,region_2_noise_risk,region_2_status,region_3_samples,region_3_val_error,region_3_uncertainty,region_3_lp,region_3_noise_risk,region_3_status,region_4_samples,region_4_val_error,region_4_uncertainty,region_4_lp,region_4_noise_risk,region_4_status,later_mastered,later_blocked_noisy,final_status_of_selected
0,7,LearningProgress,3,0.794427601939151,0.7469620524819425,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,False,True,blocked_noisy
1,7,LearningProgress,3,-0.39966743017754913,0.8203782095377569,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,False,True,blocked_noisy
2,7,LearningProgress,4,-0.9894693908688506,0.9606299245143407,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,True,False,mastered
3,7,LearningProgress,4,-0.06413009431255845,0.0224170210186687,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,True,False,mastered
4,7,LearningProgress,1,-0.44314877579845335,0.518681570636971,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,True,False,mastered
5,7,LearningProgress,1,0.009096517915906599,0.23908750759971426,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,True,False,mastered
6,7,LearningProgress,2,0.9910005668687853,0.00012891620285222782,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,False,False,learning
7,7,LearningProgress,3,0.9779202953637698,0.5266267690158747,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,False,True,blocked_noisy
8,7,LearningProgress,1,0.22507920854606156,0.15086423073244545,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,3,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,True,False,mastered
9,7,LearningProgress,0,-0.9286394424528077,-1.3260678705093771,1.0,1.6982130811778617,-0.6982130811778617,0,1.0,1.0,0.1,0.0,unexplored,3,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,3,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,True,False,mastered
10,7,LearningProgress,2,-0.9764119489149883,-0.25056330906884244,0.4844332437159191,0.6011249796165399,-0.11669173590062076,1,1.6982130811778617,0.004989044740796089,0.1,0.0,learning,3,0.23613278810726912,0.010318323038518429,0.1,0.0,learning,1,0.4844332437159191,0.0027581495232880116,0.1,0.0,learning,3,0.8233586910058429,0.0231768898665905,0.1,0.0,learning,2,0.21872296060087304,0.014221037738025188,0.1,0.0,learning,False,False,learning
11,7,LearningProgress,4,-0.4648013908724291,0.4577890730691674,0.05370240134767272,0.050540828748360855,0.0031615725993118654,1,1.596679144563015,0.03342204540967941,0.10153393661484666,0.0,learning,3,0.1579473529883379,0.004610574338585138,0.07818543511893122,0.0,learning,2,0.6011249796165399,0.011728322133421898,-0.11669173590062076,0.0,learning,3,1.4608119488687503,0.020121797919273376,-0.6374532578629074,0.0,learning,2,0.05370240134767272,0.009032893925905228,0.1650205592532003,0.0,learning,True,False,mastered
12,7,LearningProgress,1,0.01554447260069991,0.19223549178702273,0.12073645511179766,0.20658464952707578,-0.08584819441527812,1,2.2428666730800884,0.13618245720863342,-0.5446535919022266,0.0,learning,3,0.12073645511179766,0.0242607481777668,0.11539633299547146,0.0,learning,2,0.48175531935599536,0.04600084200501442,0.0026779243599237557,0.0,learning,3,1.5298534920494935,0.006752167362719774,-0.7064948010436506,0.0,learning,3,0.050540828748360855,0.003564217360690236,0.16818213185251218,0.0,learning,True,False,mastered
